aweme_id,create_time,digg_count,comment_count,collect_count,download_url,analysis_text,llm_cents,analyzed_at
7624879736686120201,1775312678,399,15,28,https://v3-search.douyinvod.com/063067b44dd6175758aa3ad81a667f39/69d13eea/video/tos/cn/tos-cn-ve-15/o0N1AVPBDI5AeP0AnBDyz6oIRBwAHiDaiSRfEg/?a=615883&ch=10010&cr=13&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1404&bt=1404&cs=0&ds=3&ft=Xo0TLaZqsQOCCp5Sup-Q6_Mme-rLWa5eF4l3Shd-IJmVjqkwUBMEq&mime_type=video_mp4&qs=0&rc=ZDZkOWQ7aDdnOGlpOjQ7O0BpMztud3M5cnlqOjMzNGkzM0AuLS1jYl82Xy4xNF4wNTYzYSNtc15nMmQ0MDVhLS1kLTBzcw%3D%3D&btag=c0000e00038000&dy_q=1775316366&feature_id=93c5283e1794c821af5e0ee1411bec9d&l=20260404232606CDD78E953F201EDA3084,视频 7624879736686120201 互动概览：点赞 399，评论 15，收藏 28，发布时间戳 1775312678。综合判断：热度一般，建议结合原视频进一步研判。,1,2026-04-04 23:27:38
7628939837260729606,1776258300,3416,95,426,https://v3-search.douyinvod.com/5defeda7a5385431156f1a30f6004f99/69e0b374/video/tos/cn/tos-cn-ve-15/ogp326zcI02UBbgAQnFfoAAjj9FviDfo7g7D8E/?a=615883&ch=10010&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1240&bt=1240&cs=0&ds=3&ft=Xo0TLaZqsQOCCp5Sup-Q6_Mme-rLWa5eF06yPhd-I9VKmCuwUBMEq&mime_type=video_mp4&qs=0&rc=OWY6aDloN2hnOWQ0aWVoOUBpM3NwOHc5cjxwOjMzNGkzM0BgYi0uLzZgXmMxMS9iYzEtYSNpbzA1MmRzcmNhLS1kLTBzcw%3D%3D&btag=80000e00038000&dy_q=1776329434&feature_id=93c5283e1794c821af5e0ee1411bec9d&l=2026041616503453BC40EE9107768327DE,视频 7628939837260729606 互动概览：点赞 3416，评论 95，收藏 426，发布时间戳 1776258300。综合判断：热度上升，建议结合原视频进一步研判。,1,2026-04-16 16:50:36
7628970688837143862,1776259722,1857,67,175,https://v3-search.douyinvod.com/b87378046d2b1534e8b4e23670dfe400/69e0b225/video/tos/cn/tos-cn-ve-15/oE3GveQiABATPjv8wNWGeebqRpQR8BAUMCx7Fz/?a=615883&ch=10010&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1204&bt=1204&cs=0&ds=3&ft=Xo0TLaZqsQOCCp5Sup-Q6_Mme-rLWa5eF06yPhd-I9VKmCuwUBMEq&mime_type=video_mp4&qs=0&rc=Mzo2NjY4Zjk4PGlnOzczZUBpM287PHA5cjRyOjMzNGkzM0AxLTNfMmIyNjYxYWFfYjNjYSNxbmRhMmRzaGNhLS1kLTBzcw%3D%3D&btag=80000e00030000&dy_q=1776329434&feature_id=93c5283e1794c821af5e0ee1411bec9d&l=2026041616503453BC40EE9107768327DE,视频 7628970688837143862 互动概览：点赞 1857，评论 67，收藏 175，发布时间戳 1776259722。综合判断：热度上升，建议结合原视频进一步研判。,1,2026-04-16 16:50:36
